evarname,pvarname,n,e_table_name,p_table_name
DR1TB12A,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TBCAR,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCAFF,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
